Title
土岐教授、キスの続きをシてください！ おじさまとはぐくむ極甘レンアイ 
いじわる幼馴染ととろあま夫婦生活 
お堅い常務と幸せ特訓（
藤井くんは溺愛ケダモノ 
有能エンジニアにはウラの顔がある 
初心な花嫁は夜の伯爵に溺愛される 
初イキ相手はスパダリ社長 
エリート上司の極上愛撫 秘密のキスに甘くとろけて
ちっぱい女子と雄っぱい男子（
カラダはあまい不愛想 
二つの帝国と帝国の奴隷 
アンダードッグ・コネクション プロローグ
熱愛記 
BOSS・B・BABY 
枠外を注視しない 
曖昧さのどこか 
ホームファイブ 
HOME BOY 
キスの断罪 
欲望というものについて 
推しが現れた!? 
悪人の事情 
君のせいで プロローグ
悪い犬は噛まない 
BAITS～甘い餌の誘惑～ 
日曜日の癒し 
君を待つ 
友達以上のなかよし 
閉ざされた部屋で 
野獣は死ななければならない 
アポリア 
ロマンティック・ビハインド 
ハニーミルク 
千葉教官はなびかない 
二度目まして、運命の恋 
ただいま、お気に入りの場所 
花丸漫画 ツーリング・エクスプレス～ルージュ編～ 
花丸漫画 帰り道はずっと君と 
花丸漫画 不本意お盛りボーイ 
花丸漫画 物置き部屋に通い猫 
花丸漫画 ホス探へようこそ～another～ 
花丸漫画 恋じゃないならなんなのさ 
花丸漫画 陰キャな僕が双子に愛される理由 
花丸漫画 
Qpa 
神様とインモラル 
君となら恋をしてみても 
エモーション・コントローラー 
カムバック・アフター・フェイト 
コマンドミー、プリーズ 
黄昏アウトフォーカス 
猫になりたい田万川くん 
漫画版 ブライト・プリズン 学園の美しき生け贄 
君に染まれば 
貢ぎ物は冷血領主に運命を捧げる 
エロスとタナトス 
結んで、絡めて―巳神様に嫁入り― 
隣のツツジの花の色 
忍者は異世界で堅物騎士に恋なんかしない！ 
瞳の中の僕を知らない 
キスだけじゃガマンできない 
××LaLa BLaLa 
強制Switch－担任×問題児Dom/Sub－ 
